headline,category,source,published_date,sentiment_score,impact_score,risk_level
NFT trading volume drops sharply,crypto,Forbes,2025-02-22,-0.38,68.79,Medium
retail spending unexpectedly rises,economy,Financial Times,2024-04-26,0.39,80.4,High
shareholders approve company restructuring,corporate,Forbes,2024-09-23,-0.28,62.01,Medium
banking sector sees rise in loan defaults,banking,Financial Times,2025-03-02,0.07,58.61,Medium
investors lose millions in crypto rug pull,crypto,Reuters,2025-02-16,-0.12,67.48,Medium
company announces massive layoffs,corporate,Forbes,2024-07-13,-0.19,53.7,Medium
corporate tax changes spark debate,corporate,Bloomberg,2025-01-10,0.05,55.5,Medium
fintech firms challenge traditional banks,banking,WSJ,2024-08-04,-0.05,56.21,Medium
global leaders meet for economic summit,geopolitical,Yahoo Finance,2025-03-21,-0.12,80.58,High
economic slowdown feared due to global tensions,economy,WSJ,2025-02-08,-0.3,64.61,Medium
crypto volatility scares retail investors,crypto,Forbes,2024-08-11,0.02,74.06,Medium
stock market crashes amid investor panic,market,Forbes,2024-06-09,-0.73,73.67,High
unemployment rate drops to historic low,economy,Reuters,2024-07-08,-0.33,72.8,Medium
market hits record high despite concerns,market,Bloomberg,2024-12-22,-0.15,53.23,Medium
recession fears rattle global markets,market,Bloomberg,2024-05-20,-0.53,68.19,Medium
debt ceiling debate causes economic uncertainty,economy,Forbes,2024-11-18,0.05,61.23,Medium
bank posts record quarterly losses,banking,Financial Times,2024-08-12,-0.07,52.74,Medium
CEO steps down amid internal probe,corporate,Financial Times,2024-07-08,-0.21,52.09,Medium
consumer confidence falls amid inflation,economy,CNBC,2024-06-14,-0.13,67.19,Medium
interest rates impact mortgage applications,banking,Yahoo Finance,2025-03-12,-0.17,60.63,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-07-31,0.4,73.12,Medium
bitcoin hits all-time high,crypto,Reuters,2024-11-15,0.17,66.9,Medium
banking regulations under review,banking,Yahoo Finance,2025-01-30,0.11,68.86,Medium
manufacturing giant shuts down plant,corporate,Reuters,2024-10-28,-0.89,64.37,High
credit card delinquencies rise sharply,banking,Financial Times,2024-11-03,0.32,63.78,Medium
inflation concerns mount as prices rise,economy,WSJ,2024-10-02,0.07,63.03,Medium
consumer confidence falls amid inflation,economy,Bloomberg,2024-11-05,0.02,64.52,Medium
global leaders meet for economic summit,geopolitical,Forbes,2024-10-03,0.23,79.72,High
earnings report beats Wall Street expectations,corporate,Financial Times,2025-03-29,0.07,53.99,Medium
retail spending unexpectedly rises,economy,Yahoo Finance,2025-02-24,0.1,64.34,Medium
merger between two tech giants finalized,corporate,WSJ,2024-08-26,0.08,54.1,Medium
market volatility increases ahead of earnings season,market,Financial Times,2024-05-16,0.06,71.28,Medium
GDP growth slows down in Q3,economy,Financial Times,2024-12-02,0.17,65.92,Medium
Ethereum upgrade improves scalability,crypto,Forbes,2025-03-06,0.44,74.56,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-05-31,-0.21,68.11,Medium
global leaders meet for economic summit,geopolitical,Yahoo Finance,2024-07-13,-0.37,78.79,High
bull market continues as tech stocks rally,market,CNBC,2024-05-28,0.2,71.38,Medium
diplomatic ties strengthened to support trade,geopolitical,CNBC,2025-03-01,0.07,74.95,Medium
merger between two tech giants finalized,corporate,Yahoo Finance,2024-05-27,0.17,46.49,Low
new sanctions imposed affecting exports,geopolitical,Financial Times,2025-01-21,0.05,79.6,High
diplomatic ties strengthened to support trade,geopolitical,Bloomberg,2025-03-24,-0.3,85.22,High
bitcoin hits all-time high,crypto,Reuters,2024-10-15,0.07,68.97,Medium
Ethereum upgrade improves scalability,crypto,CNBC,2024-12-12,0.33,86.3,High
credit card delinquencies rise sharply,banking,WSJ,2024-05-02,0.24,64.84,Medium
unemployment rate drops to historic low,economy,CNBC,2025-03-07,-0.29,65.1,Medium
credit card delinquencies rise sharply,banking,WSJ,2024-05-02,0.37,61.27,Medium
debt ceiling debate causes economic uncertainty,economy,WSJ,2025-02-02,0.01,62.76,Medium
debt ceiling debate causes economic uncertainty,economy,Forbes,2024-12-07,0.1,68.17,Medium
shareholders approve company restructuring,corporate,Forbes,2025-04-12,0.21,55.6,Medium
shareholders approve company restructuring,corporate,Forbes,2024-07-11,-0.05,50.86,Medium
GDP growth slows down in Q3,economy,Financial Times,2024-10-22,-0.09,68.24,Medium
bank posts record quarterly losses,banking,Forbes,2024-09-11,-0.05,56.14,Medium
diplomatic ties strengthened to support trade,geopolitical,Financial Times,2024-11-13,0.17,84.33,High
consumer confidence falls amid inflation,economy,Yahoo Finance,2024-08-12,0.08,75.58,High
investors worry about overvalued markets,market,Financial Times,2024-06-28,-0.15,56.03,Medium
investors lose millions in crypto rug pull,crypto,Forbes,2024-11-16,-0.36,82.88,High
market hits record high despite concerns,market,Reuters,2025-04-12,0.13,61.67,Medium
banking sector sees rise in loan defaults,banking,WSJ,2024-08-05,0.26,58.27,Medium
blockchain technology adopted by major banks,crypto,WSJ,2024-10-18,0.69,81.0,High
inflation concerns mount as prices rise,economy,WSJ,2024-12-09,0.02,68.93,Medium
war fears rise as conflict intensifies,geopolitical,Forbes,2025-02-26,0.1,77.62,High
trade tensions escalate between major economies,geopolitical,Reuters,2024-09-03,-0.16,79.76,High
stocks fall due to global interest rate hikes,market,Forbes,2025-02-08,0.38,72.43,Medium
market correction expected after prolonged rally,market,Reuters,2024-09-16,0.52,65.24,Medium
inflation concerns mount as prices rise,economy,CNBC,2024-07-14,-0.2,67.37,Medium
investors lose millions in crypto rug pull,crypto,Yahoo Finance,2025-01-22,0.01,75.62,High
crypto volatility scares retail investors,crypto,Yahoo Finance,2024-11-16,-0.34,82.75,High
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2025-02-17,-0.03,73.32,Medium
merger between two tech giants finalized,corporate,CNBC,2024-12-22,-0.2,49.73,Low
military drills raise regional concerns,geopolitical,Yahoo Finance,2024-07-05,-0.04,75.97,High
crypto markets face regulatory crackdown,crypto,Yahoo Finance,2024-09-26,-0.46,70.42,Medium
market correction expected after prolonged rally,market,WSJ,2025-02-12,0.13,70.3,Medium
startup raises $100M in Series B funding,corporate,Forbes,2024-05-07,-0.05,48.23,Low
Ethereum upgrade improves scalability,crypto,Yahoo Finance,2024-05-25,0.15,70.89,Medium
crypto markets face regulatory crackdown,crypto,Forbes,2024-12-18,-0.74,80.83,High
company announces massive layoffs,corporate,WSJ,2024-07-03,-0.25,62.23,Medium
blockchain technology adopted by major banks,crypto,Forbes,2025-03-15,0.57,84.18,High
global leaders meet for economic summit,geopolitical,Forbes,2024-11-13,-0.05,70.22,Medium
military drills raise regional concerns,geopolitical,Bloomberg,2025-02-04,0.31,79.95,High
stock market crashes amid investor panic,market,Reuters,2024-08-07,-0.4,65.88,Medium
bull market continues as tech stocks rally,market,CNBC,2024-07-15,0.24,62.88,Medium
consumer confidence falls amid inflation,economy,Financial Times,2024-10-09,-0.11,63.92,Medium
military drills raise regional concerns,geopolitical,WSJ,2025-01-27,-0.21,75.43,High
merger between two tech giants finalized,corporate,Yahoo Finance,2024-08-09,-0.14,57.63,Medium
credit card delinquencies rise sharply,banking,Reuters,2025-03-31,0.15,69.77,Medium
oil embargo sends prices soaring,geopolitical,CNBC,2024-09-01,-0.53,88.41,High
CEO steps down amid internal probe,corporate,Yahoo Finance,2024-10-13,0.05,45.38,Low
stocks fall due to global interest rate hikes,market,WSJ,2024-05-21,-0.07,59.19,Medium
bitcoin hits all-time high,crypto,Financial Times,2024-11-26,-0.28,70.31,Medium
GDP growth slows down in Q3,economy,Yahoo Finance,2024-08-27,-0.22,77.06,High
investors worry about overvalued markets,market,Forbes,2024-05-24,0.19,69.21,Medium
banking sector sees rise in loan defaults,banking,Bloomberg,2024-10-28,0.34,59.45,Medium
unemployment rate drops to historic low,economy,Yahoo Finance,2024-07-01,-0.3,71.95,Medium
GDP growth slows down in Q3,economy,Yahoo Finance,2024-07-07,-0.24,72.16,Medium
inflation concerns mount as prices rise,economy,Yahoo Finance,2024-12-18,-0.05,63.88,Medium
altcoins surge in early morning trade,crypto,Yahoo Finance,2024-06-15,0.34,77.32,High
market correction expected after prolonged rally,market,Yahoo Finance,2025-02-01,0.13,67.75,Medium
economic slowdown feared due to global tensions,economy,Yahoo Finance,2025-01-17,-0.62,77.38,High
stock market crashes amid investor panic,market,CNBC,2025-04-09,-0.28,62.65,Medium
blockchain technology adopted by major banks,crypto,WSJ,2024-11-02,0.27,67.79,Medium
market volatility increases ahead of earnings season,market,Reuters,2025-03-21,0.18,61.78,Medium
consumer confidence falls amid inflation,economy,WSJ,2025-02-17,-0.1,71.75,Medium
new sanctions imposed affecting exports,geopolitical,Financial Times,2024-08-30,-0.14,70.06,Medium
crypto markets face regulatory crackdown,crypto,Financial Times,2024-08-02,-0.51,80.68,High
central bank cuts interest rates to boost economy,economy,Forbes,2024-05-14,-0.06,74.67,Medium
bank posts record quarterly losses,banking,Financial Times,2024-05-22,-0.62,77.78,High
stock market crashes amid investor panic,market,Financial Times,2024-09-23,-0.36,64.92,Medium
merger between two tech giants finalized,corporate,Financial Times,2024-04-17,-0.11,58.65,Medium
merger between two tech giants finalized,corporate,Bloomberg,2024-11-03,-0.01,60.67,Medium
interest rates impact mortgage applications,banking,Bloomberg,2025-02-11,0.02,61.05,Medium
NFT trading volume drops sharply,crypto,Financial Times,2024-06-15,-0.27,73.77,Medium
bank posts record quarterly losses,banking,Financial Times,2024-08-01,-0.14,53.55,Medium
credit card delinquencies rise sharply,banking,Bloomberg,2024-04-22,-0.07,64.77,Medium
investors worry about overvalued markets,market,Financial Times,2024-08-28,0.03,59.53,Medium
consumer confidence falls amid inflation,economy,Reuters,2024-08-27,0.0,66.74,Medium
corporate tax changes spark debate,corporate,Forbes,2025-02-27,-0.11,52.76,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2024-05-11,0.24,68.71,Medium
NFT trading volume drops sharply,crypto,CNBC,2024-04-30,-0.12,63.29,Medium
merger between two tech giants finalized,corporate,Bloomberg,2025-03-04,0.21,60.51,Medium
market hits record high despite concerns,market,Bloomberg,2024-10-08,0.05,65.66,Medium
central bank cuts interest rates to boost economy,economy,WSJ,2024-07-03,0.53,78.02,High
fintech firms challenge traditional banks,banking,Forbes,2025-02-13,-0.37,59.15,Medium
startup raises $100M in Series B funding,corporate,Yahoo Finance,2024-05-11,-0.12,56.93,Medium
company announces massive layoffs,corporate,Reuters,2024-06-13,-0.1,52.87,Medium
NFT trading volume drops sharply,crypto,Bloomberg,2024-06-25,-0.16,68.62,Medium
banks introduce stricter credit policies,banking,CNBC,2024-05-15,-0.12,54.77,Medium
CEO steps down amid internal probe,corporate,Yahoo Finance,2025-02-20,-0.38,53.94,Medium
NFT trading volume drops sharply,crypto,Bloomberg,2024-11-25,-0.4,81.27,High
banks introduce stricter credit policies,banking,Yahoo Finance,2024-09-09,-0.19,76.01,High
banking sector sees rise in loan defaults,banking,WSJ,2024-05-15,0.3,65.42,Medium
diplomatic ties strengthened to support trade,geopolitical,Bloomberg,2025-01-14,-0.17,81.05,High
investors lose millions in crypto rug pull,crypto,Reuters,2024-10-19,-0.12,72.41,Medium
market volatility increases ahead of earnings season,market,Yahoo Finance,2025-02-02,0.51,67.17,Medium
credit card delinquencies rise sharply,banking,Bloomberg,2025-02-03,0.43,62.93,Medium
trade tensions escalate between major economies,geopolitical,Bloomberg,2024-07-19,-0.01,84.0,High
consumer confidence falls amid inflation,economy,Financial Times,2024-08-27,-0.13,76.01,High
altcoins surge in early morning trade,crypto,Reuters,2024-11-08,0.34,72.29,Medium
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2024-06-30,0.13,81.81,High
new digital bank attracts thousands of users,banking,Bloomberg,2025-01-27,0.12,53.95,Medium
central bank cuts interest rates to boost economy,economy,Forbes,2025-03-06,0.05,64.51,Medium
crypto volatility scares retail investors,crypto,Forbes,2024-09-11,-0.01,73.25,Medium
manufacturing giant shuts down plant,corporate,Financial Times,2024-11-28,-0.36,53.72,Medium
GDP growth slows down in Q3,economy,Reuters,2024-09-08,0.08,69.25,Medium
market correction expected after prolonged rally,market,Forbes,2024-05-04,0.31,70.05,Medium
banking regulations under review,banking,WSJ,2024-05-10,0.17,64.85,Medium
bitcoin hits all-time high,crypto,CNBC,2024-09-26,-0.01,61.85,Medium
banking sector sees rise in loan defaults,banking,Bloomberg,2025-01-02,0.29,65.39,Medium
blockchain technology adopted by major banks,crypto,Yahoo Finance,2025-02-05,0.25,67.37,Medium
investors lose millions in crypto rug pull,crypto,Reuters,2025-02-14,-0.22,78.57,High
recession fears rattle global markets,market,Forbes,2024-09-08,-0.21,66.56,Medium
unemployment rate drops to historic low,economy,Financial Times,2024-07-18,-0.19,68.0,Medium
peace deal signed after years of negotiation,geopolitical,WSJ,2024-07-04,0.19,75.27,High
oil embargo sends prices soaring,geopolitical,Bloomberg,2024-09-25,0.02,72.99,Medium
trade tensions escalate between major economies,geopolitical,Financial Times,2025-04-07,-0.09,74.8,Medium
merger between two tech giants finalized,corporate,Yahoo Finance,2024-11-07,0.04,53.21,Medium
credit card delinquencies rise sharply,banking,WSJ,2024-09-21,0.45,62.28,Medium
military drills raise regional concerns,geopolitical,Reuters,2025-02-17,-0.24,76.4,High
company announces massive layoffs,corporate,Reuters,2025-01-19,0.09,57.33,Medium
banking regulations under review,banking,Yahoo Finance,2024-04-28,0.21,55.72,Medium
crypto markets face regulatory crackdown,crypto,Financial Times,2025-02-21,-0.15,76.7,High
consumer confidence falls amid inflation,economy,WSJ,2024-09-23,0.02,70.63,Medium
new digital bank attracts thousands of users,banking,Financial Times,2024-11-09,-0.1,68.55,Medium
oil embargo sends prices soaring,geopolitical,CNBC,2024-10-28,0.46,80.09,High
GDP growth slows down in Q3,economy,WSJ,2024-05-27,-0.09,73.62,Medium
investors worry about overvalued markets,market,Yahoo Finance,2024-10-20,0.32,62.19,Medium
altcoins surge in early morning trade,crypto,CNBC,2025-02-23,0.12,70.39,Medium
economic slowdown feared due to global tensions,economy,CNBC,2025-01-18,-0.67,70.46,High
interest rates impact mortgage applications,banking,Yahoo Finance,2024-05-16,-0.2,59.16,Medium
market volatility increases ahead of earnings season,market,Yahoo Finance,2024-05-30,-0.01,61.32,Medium
manufacturing giant shuts down plant,corporate,Yahoo Finance,2024-07-02,-0.09,51.36,Medium
banking regulations under review,banking,Forbes,2024-07-01,0.2,61.93,Medium
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2024-05-30,-0.01,78.52,High
altcoins surge in early morning trade,crypto,Financial Times,2025-03-13,-0.02,72.21,Medium
manufacturing giant shuts down plant,corporate,Forbes,2024-11-12,-0.37,63.01,Medium
bitcoin hits all-time high,crypto,Reuters,2024-07-31,0.06,83.18,High
market correction expected after prolonged rally,market,Financial Times,2024-08-28,0.07,58.4,Medium
stock market crashes amid investor panic,market,Reuters,2024-11-21,-0.52,65.02,Medium
bull market continues as tech stocks rally,market,WSJ,2024-06-16,0.07,67.0,Medium
credit card delinquencies rise sharply,banking,Financial Times,2024-06-23,0.48,64.35,Medium
banking sector sees rise in loan defaults,banking,Financial Times,2024-06-28,0.03,62.81,Medium
peace deal signed after years of negotiation,geopolitical,Reuters,2024-06-11,-0.11,79.81,High
earnings report beats Wall Street expectations,corporate,Bloomberg,2024-08-29,0.04,48.02,Low
stocks fall due to global interest rate hikes,market,Forbes,2025-03-04,0.31,73.63,Medium
interest rates impact mortgage applications,banking,Bloomberg,2024-12-11,-0.12,59.86,Medium
global leaders meet for economic summit,geopolitical,Financial Times,2024-07-22,0.06,77.57,High
interest rates impact mortgage applications,banking,Reuters,2024-10-08,0.13,72.0,Medium
Ethereum upgrade improves scalability,crypto,Financial Times,2024-10-25,0.16,68.41,Medium
trade tensions escalate between major economies,geopolitical,Yahoo Finance,2024-05-28,-0.28,75.55,High
oil embargo sends prices soaring,geopolitical,Bloomberg,2024-10-30,-0.01,84.12,High
market hits record high despite concerns,market,Reuters,2024-12-08,-0.1,62.62,Medium
war fears rise as conflict intensifies,geopolitical,Reuters,2025-03-06,-0.0,80.94,High
interest rates impact mortgage applications,banking,Reuters,2024-11-09,0.51,65.0,Medium
military drills raise regional concerns,geopolitical,CNBC,2024-06-16,-0.3,84.72,High
new sanctions imposed affecting exports,geopolitical,Reuters,2024-07-04,0.14,86.33,High
startup raises $100M in Series B funding,corporate,Yahoo Finance,2025-02-10,0.12,55.0,Medium
new sanctions imposed affecting exports,geopolitical,Forbes,2024-05-08,0.12,82.34,High
startup raises $100M in Series B funding,corporate,Bloomberg,2024-10-13,0.16,59.94,Medium
altcoins surge in early morning trade,crypto,CNBC,2024-10-24,0.41,82.0,High
CEO steps down amid internal probe,corporate,CNBC,2025-02-05,0.08,59.44,Medium
GDP growth slows down in Q3,economy,Reuters,2025-02-24,-0.03,66.18,Medium
banking sector sees rise in loan defaults,banking,Forbes,2024-10-26,0.44,62.52,Medium
interest rates impact mortgage applications,banking,WSJ,2024-10-06,0.07,59.08,Medium
unemployment rate drops to historic low,economy,CNBC,2024-04-27,-0.19,74.24,Medium
interest rates impact mortgage applications,banking,Forbes,2024-09-04,0.04,60.83,Medium
market hits record high despite concerns,market,Reuters,2024-05-05,-0.27,67.78,Medium
peace deal signed after years of negotiation,geopolitical,Financial Times,2024-06-08,0.13,87.77,High
crypto volatility scares retail investors,crypto,CNBC,2024-07-17,-0.06,72.0,Medium
economic slowdown feared due to global tensions,economy,Yahoo Finance,2024-08-19,-0.35,78.14,High
retail spending unexpectedly rises,economy,Forbes,2024-06-28,0.18,69.1,Medium
manufacturing giant shuts down plant,corporate,Yahoo Finance,2024-11-23,-0.28,60.13,Medium
corporate tax changes spark debate,corporate,CNBC,2025-01-04,-0.09,57.32,Medium
interest rates impact mortgage applications,banking,Yahoo Finance,2024-12-09,0.21,58.02,Medium
recession fears rattle global markets,market,Yahoo Finance,2024-10-08,-0.17,59.05,Medium
new digital bank attracts thousands of users,banking,Forbes,2024-07-26,0.24,55.98,Medium
market correction expected after prolonged rally,market,Bloomberg,2025-01-24,0.09,63.24,Medium
crypto volatility scares retail investors,crypto,WSJ,2025-01-31,0.31,74.32,Medium
merger between two tech giants finalized,corporate,CNBC,2024-08-29,-0.11,66.06,Medium
bitcoin hits all-time high,crypto,Financial Times,2025-03-20,-0.29,63.36,Medium
startup raises $100M in Series B funding,corporate,CNBC,2024-10-01,0.09,53.84,Medium
stocks fall due to global interest rate hikes,market,CNBC,2025-04-02,-0.2,66.54,Medium
crypto markets face regulatory crackdown,crypto,Yahoo Finance,2024-04-16,-0.15,69.43,Medium
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2025-02-01,-0.26,83.26,High
central bank cuts interest rates to boost economy,economy,Reuters,2024-08-18,0.33,69.45,Medium
war fears rise as conflict intensifies,geopolitical,Yahoo Finance,2024-04-20,0.37,75.2,High
manufacturing giant shuts down plant,corporate,WSJ,2025-04-14,-0.71,62.19,High
stock market crashes amid investor panic,market,Reuters,2024-12-27,-0.41,67.37,Medium
consumer confidence falls amid inflation,economy,Bloomberg,2024-11-20,-0.05,67.51,Medium
economic slowdown feared due to global tensions,economy,Bloomberg,2025-03-23,-0.65,81.97,High
consumer confidence falls amid inflation,economy,Forbes,2024-06-02,-0.02,70.89,Medium
merger between two tech giants finalized,corporate,Bloomberg,2024-08-04,0.07,58.33,Medium
banking sector sees rise in loan defaults,banking,Forbes,2024-07-27,0.31,66.89,Medium
banks introduce stricter credit policies,banking,Forbes,2025-02-02,0.13,68.6,Medium
Ethereum upgrade improves scalability,crypto,Bloomberg,2024-06-06,0.24,77.15,High
blockchain technology adopted by major banks,crypto,WSJ,2024-09-15,0.18,79.9,High
GDP growth slows down in Q3,economy,WSJ,2024-10-14,-0.14,76.1,High
stock market crashes amid investor panic,market,Financial Times,2024-08-19,-0.41,59.0,Medium
market hits record high despite concerns,market,Reuters,2024-12-08,0.03,57.04,Medium
trade tensions escalate between major economies,geopolitical,Reuters,2025-03-13,0.17,74.29,Medium
blockchain technology adopted by major banks,crypto,Forbes,2024-05-15,0.11,62.2,Medium
new sanctions imposed affecting exports,geopolitical,Yahoo Finance,2024-06-23,-0.09,64.23,Medium
oil embargo sends prices soaring,geopolitical,CNBC,2025-03-25,-0.32,83.6,High
NFT trading volume drops sharply,crypto,Yahoo Finance,2024-05-22,-0.04,72.73,Medium
debt ceiling debate causes economic uncertainty,economy,Forbes,2024-08-14,-0.19,67.61,Medium
war fears rise as conflict intensifies,geopolitical,Yahoo Finance,2025-02-06,-0.0,69.21,Medium
recession fears rattle global markets,market,Bloomberg,2024-11-17,0.1,65.89,Medium
central bank cuts interest rates to boost economy,economy,Yahoo Finance,2025-01-04,0.16,67.53,Medium
stocks fall due to global interest rate hikes,market,Reuters,2024-07-27,0.04,50.39,Medium
manufacturing giant shuts down plant,corporate,Reuters,2025-03-29,-0.45,58.34,Medium
peace deal signed after years of negotiation,geopolitical,Reuters,2024-10-16,-0.2,76.59,High
stocks fall due to global interest rate hikes,market,Reuters,2025-02-12,0.36,68.6,Medium
Ethereum upgrade improves scalability,crypto,Financial Times,2024-09-03,0.09,74.21,Medium
